geração,Id_Barra,Nome_Barra,Tamanho Geometrico (cm),Tamanho de Corte (cm),Fitness
11,9,AF,5.3222,7.3222,0.1942
11,10,GB,6.0376,10.0376,0.1942
11,11,HC,6.2975,10.2975,0.1942
11,12,ID,6.0376,10.0376,0.1942
11,13,EJ,5.3222,7.3222,0.1942
11,14,FB,12.9324,16.9324,0.1942
11,15,GC,11.6813,15.6813,0.1942
11,16,IC,11.6813,15.6813,0.1942
11,17,JD,12.9324,16.9324,0.1942
12,1,AB,11.7854,13.7854,0.1961
12,2,BC,9.9527,13.9527,0.1961
12,3,CD,9.9527,13.9527,0.1961
12,4,DE,11.7854,13.7854,0.1961
12,5,FG,11.7903,15.7903,0.1961
12,6,GH,9.9742,13.9742,0.1961
12,7,HI,9.9742,13.9742,0.1961
12,8,IJ,11.7903,15.7903,0.1961
12,9,AF,5.3202,7.3202,0.1961
12,10,GB,5.6604,9.6604,0.1961
12,11,HC,6.3145,10.3145,0.1961
12,12,ID,5.6604,9.6604,0.1961
12,13,EJ,5.3202,7.3202,0.1961
12,14,FB,12.9306,16.9306,0.1961
12,15,GC,11.4497,15.4497,0.1961
12,16,IC,11.4497,15.4497,0.1961
12,17,JD,12.9306,16.9306,0.1961
13,1,AB,11.8131,13.8131,0.1992
13,2,BC,9.8352,13.8352,0.1992
13,3,CD,9.8352,13.8352,0.1992
13,4,DE,11.8131,13.8131,0.1992
13,5,FG,11.8145,15.8145,0.1992
13,6,GH,9.8643,13.8643,0.1992
13,7,HI,9.8643,13.8643,0.1992
13,8,IJ,11.8145,15.8145,0.1992
13,9,AF,5.1034,7.1034,0.1992
13,10,GB,5.2859,9.2859,0.1992
13,11,HC,6.0435,10.0435,0.1992
13,12,ID,5.2859,9.2859,0.1992
13,13,EJ,5.1034,7.1034,0.1992
13,14,FB,12.8684,16.8684,0.1992
13,15,GC,11.1656,15.1656,0.1992
13,16,IC,11.1656,15.1656,0.1992
13,17,JD,12.8684,16.8684,0.1992
14,1,AB,11.9701,13.9701,0.2105
14,2,BC,9.8147,13.8147,0.2105
14,3,CD,9.8147,13.8147,0.2105
14,4,DE,11.9701,13.9701,0.2105
14,5,FG,12.0083,16.0083,0.2105
14,6,GH,9.8214,13.8214,0.2105
14,7,HI,9.8214,13.8214,0.2105
14,8,IJ,12.0083,16.0083,0.2105
14,9,AF,5.0119,7.0119,0.2105
14,10,GB,5.9693,9.9693,0.2105
14,11,HC,6.3322,10.3322,0.2105
14,12,ID,5.9693,9.9693,0.2105
14,13,EJ,5.0119,7.0119,0.2105
14,14,FB,12.977,16.977,0.2105
14,15,GC,11.4874,15.4874,0.2105
14,16,IC,11.4874,15.4874,0.2105
14,17,JD,12.977,16.977,0.2105
15,1,AB,11.9701,13.9701,0.2105
15,2,BC,9.8147,13.8147,0.2105
15,3,CD,9.8147,13.8147,0.2105
15,4,DE,11.9701,13.9701,0.2105
15,5,FG,12.0083,16.0083,0.2105
15,6,GH,9.8214,13.8214,0.2105
15,7,HI,9.8214,13.8214,0.2105
15,8,IJ,12.0083,16.0083,0.2105
15,9,AF,5.0119,7.0119,0.2105
15,10,GB,5.9693,9.9693,0.2105
15,11,HC,6.3322,10.3322,0.2105
15,12,ID,5.9693,9.9693,0.2105
15,13,EJ,5.0119,7.0119,0.2105
15,14,FB,12.977,16.977,0.2105
15,15,GC,11.4874,15.4874,0.2105
15,16,IC,11.4874,15.4874,0.2105
15,17,JD,12.977,16.977,0.2105
16,1,AB,11.9701,13.9701,0.2105
16,2,BC,9.8147,13.8147,0.2105
16,3,CD,9.8147,13.8147,0.2105
16,4,DE,11.9701,13.9701,0.2105
16,5,FG,12.0083,16.0083,0.2105
16,6,GH,9.8214,13.8214,0.2105
16,7,HI,9.8214,13.8214,0.2105
16,8,IJ,12.0083,16.0083,0.2105
16,9,AF,5.0119,7.0119,0.2105
16,10,GB,5.9693,9.9693,0.2105
16,11,HC,6.3322,10.3322,0.2105
16,12,ID,5.9693,9.9693,0.2105
16,13,EJ,5.0119,7.0119,0.2105
16,14,FB,12.977,16.977,0.2105
16,15,GC,11.4874,15.4874,0.2105
16,16,IC,11.4874,15.4874,0.2105
16,17,JD,12.977,16.977,0.2105
17,1,AB,11.9701,13.9701,0.2105
17,2,BC,9.8147,13.8147,0.2105
17,3,CD,9.8147,13.8147,0.2105
17,4,DE,11.9701,13.9701,0.2105
17,5,FG,12.0083,16.0083,0.2105
17,6,GH,9.8214,13.8214,0.2105
17,7,HI,9.8214,13.8214,0.2105
17,8,IJ,12.0083,16.0083,0.2105
17,9,AF,5.0119,7.0119,0.2105
17,10,GB,5.9693,9.9693,0.2105
17,11,HC,6.3322,10.3322,0.2105
17,12,ID,5.9693,9.9693,0.2105
17,13,EJ,5.0119,7.0119,0.2105
17,14,FB,12.977,16.977,0.2105
17,15,GC,11.4874,15.4874,0.2105
17,16,IC,11.4874,15.4874,0.2105
17,17,JD,12.977,16.977,0.2105
18,1,AB,11.9701,13.9701,0.2105
18,2,BC,9.8147,13.8147,0.2105
18,3,CD,9.8147,13.8147,0.2105
18,4,DE,11.9701,13.9701,0.2105
18,5,FG,12.0083,16.0083,0.2105
18,6,GH,9.8214,13.8214,0.2105
18,7,HI,9.8214,13.8214,0.2105
18,8,IJ,12.0083,16.0083,0.2105
18,9,AF,5.0119,7.0119,0.2105
18,10,GB,5.9693,9.9693,0.2105
18,11,HC,6.3322,10.3322,0.2105
18,12,ID,5.9693,9.9693,0.2105
18,13,EJ,5.0119,7.0119,0.2105
18,14,FB,12.977,16.977,0.2105
18,15,GC,11.4874,15.4874,0.2105
18,16,IC,11.4874,15.4874,0.2105
18,17,JD,12.977,16.977,0.2105
19,1,AB,11.9701,13.9701,0.2105
19,2,BC,9.8147,13.8147,0.2105
19,3,CD,9.8147,13.8147,0.2105
19,4,DE,11.9701,13.9701,0.2105
19,5,FG,12.0083,16.0083,0.2105
19,6,GH,9.8214,13.8214,0.2105
19,7,HI,9.8214,13.8214,0.2105
19,8,IJ,12.0083,16.0083,0.2105
19,9,AF,5.0119,7.0119,0.2105
19,10,GB,5.9693,9.9693,0.2105
19,11,HC,6.3322,10.3322,0.2105
19,12,ID,5.9693,9.9693,0.2105
19,13,EJ,5.0119,7.0119,0.2105
19,14,FB,12.977,16.977,0.2105
19,15,GC,11.4874,15.4874,0.2105
19,16,IC,11.4874,15.4874,0.2105
19,17,JD,12.977,16.977,0.2105
20,1,AB,11.9438,13.9438,0.212
20,2,BC,9.8432,13.8432,0.212
20,3,CD,9.8432,13.8432,0.212
20,4,DE,11.9438,13.9438,0.212
20,5,FG,11.9456,15.9456,0.212
20,6,GH,9.9387,13.9387,0.212
20,7,HI,9.9387,13.9387,0.212
20,8,IJ,11.9456,15.9456,0.212
20,9,AF,5.7691,7.7691,0.212
20,10,GB,5.5639,9.5639,0.212
20,11,HC,6.9385,10.9385,0.212
20,12,ID,5.5639,9.5639,0.212
20,13,EJ,5.7691,7.7691,0.212
20,14,FB,13.2642,17.2642,0.212
20,15,GC,11.3069,15.3069,0.212
20,16,IC,11.3069,15.3069,0.212
20,17,JD,13.2642,17.2642,0.212
21,1,AB,11.9438,13.9438,0.212
21,2,BC,9.8432,13.8432,0.212
21,3,CD,9.8432,13.8432,0.212
21,4,DE,11.9438,13.9438,0.212
21,5,FG,11.9456,15.9456,0.212
21,6,GH,9.9387,13.9387,0.212
21,7,HI,9.9387,13.9387,0.212
21,8,IJ,11.9456,15.9456,0.212
21,9,AF,5.7691,7.7691,0.212
21,10,GB,5.5639,9.5639,0.212
21,11,HC,6.9385,10.9385,0.212
21,12,ID,5.5639,9.5639,0.212
21,13,EJ,5.7691,7.7691,0.212
21,14,FB,13.2642,17.2642,0.212
21,15,GC,11.3069,15.3069,0.212
21,16,IC,11.3069,15.3069,0.212
21,17,JD,13.2642,17.2642,0.212
22,1,AB,11.9766,13.9766,0.2232
22,2,BC,9.5826,13.5826,0.2232
22,3,CD,9.5826,13.5826,0.2232
22,4,DE,11.9766,13.9766,0.2232
22,5,FG,12.0458,16.0458,0.2232
22,6,GH,9.5922,13.5922,0.2232
22,7,HI,9.5922,13.5922,0.2232
22,8,IJ,12.0458,16.0458,0.2232
22,9,AF,4.5208,6.5208,0.2232
22,10,GB,5.8101,9.8101,0.2232
22,11,HC,6.2378,10.2378,0.2232
22,12,ID,5.8101,9.8101,0.2232
22,13,EJ,4.5208,6.5208,0.2232
22,14,FB,12.8015,16.8015,0.2232
22,15,GC,11.2064,15.2064,0.2232
22,16,IC,11.2064,15.2064,0.2232
22,17,JD,12.8015,16.8015,0.2232
23,1,AB,11.9553,13.9553,0.2244
23,2,BC,9.6327,13.6327,0.2244
23,3,CD,9.6327,13.6327,0.2244
23,4,DE,11.9553,13.9553,0.2244
23,5,FG,11.995,15.995,0.2244
23,6,GH,9.6547,13.6547,0.2244
23,7,HI,9.6547,13.6547,0.2244
23,8,IJ,11.995,15.995,0.2244
23,9,AF,4.7606,6.7606,0.2244
23,10,GB,5.7352,9.7352,0.2244
23,11,HC,6.3861,10.3861,0.2244
23,12,ID,5.7352,9.7352,0.2244
23,13,EJ,4.7606,6.7606,0.2244
23,14,FB,12.8683,16.8683,0.2244
23,15,GC,11.2108,15.2108,0.2244
23,16,IC,11.2108,15.2108,0.2244
23,17,JD,12.8683,16.8683,0.2244
24,1,AB,11.9553,13.9553,0.2244
24,2,BC,9.6327,13.6327,0.2244
24,3,CD,9.6327,13.6327,0.2244
24,4,DE,11.9553,13.9553,0.2244
24,5,FG,11.995,15.995,0.2244
24,6,GH,9.6547,13.6547,0.2244
24,7,HI,9.6547,13.6547,0.2244
24,8,IJ,11.995,15.995,0.2244
24,9,AF,4.7606,6.7606,0.2244
24,10,GB,5.7352,9.7352,0.2244
24,11,HC,6.3861,10.3861,0.2244
24,12,ID,5.7352,9.7352,0.2244
24,13,EJ,4.7606,6.7606,0.2244
24,14,FB,12.8683,16.8683,0.2244
24,15,GC,11.2108,15.2108,0.2244
24,16,IC,11.2108,15.2108,0.2244
24,17,JD,12.8683,16.8683,0.2244
25,1,AB,11.9553,13.9553,0.2244
25,2,BC,9.6327,13.6327,0.2244
25,3,CD,9.6327,13.6327,0.2244
25,4,DE,11.9553,13.9553,0.2244
25,5,FG,11.995,15.995,0.2244
25,6,GH,9.6547,13.6547,0.2244
25,7,HI,9.6547,13.6547,0.2244
25,8,IJ,11.995,15.995,0.2244
25,9,AF,4.7606,6.7606,0.2244
25,10,GB,5.7352,9.7352,0.2244
25,11,HC,6.3861,10.3861,0.2244
25,12,ID,5.7352,9.7352,0.2244
25,13,EJ,4.7606,6.7606,0.2244
25,14,FB,12.8683,16.8683,0.2244
25,15,GC,11.2108,15.2108,0.2244
25,16,IC,11.2108,15.2108,0.2244
25,17,JD,12.8683,16.8683,0.2244
26,1,AB,11.9553,13.9553,0.2244
26,2,BC,9.6327,13.6327,0.2244
26,3,CD,9.6327,13.6327,0.2244
26,4,DE,11.9553,13.9553,0.2244
26,5,FG,11.995,15.995,0.2244
26,6,GH,9.6547,13.6547,0.2244
26,7,HI,9.6547,13.6547,0.2244
26,8,IJ,11.995,15.995,0.2244
26,9,AF,4.7606,6.7606,0.2244
26,10,GB,5.7352,9.7352,0.2244
26,11,HC,6.3861,10.3861,0.2244
26,12,ID,5.7352,9.7352,0.2244
26,13,EJ,4.7606,6.7606,0.2244
26,14,FB,12.8683,16.8683,0.2244
26,15,GC,11.2108,15.2108,0.2244
26,16,IC,11.2108,15.2108,0.2244
26,17,JD,12.8683,16.8683,0.2244
27,1,AB,11.9319,13.9319,0.231
27,2,BC,9.7191,13.7191,0.231
27,3,CD,9.7191,13.7191,0.231
27,4,DE,11.9319,13.9319,0.231
27,5,FG,11.9357,15.9357,0.231
27,6,GH,9.8287,13.8287,0.231
27,7,HI,9.8287,13.8287,0.231
27,8,IJ,11.9357,15.9357,0.231
27,9,AF,5.2851,7.2851,0.231
27,10,GB,5.5843,9.5843,0.231
27,11,HC,7.0477,11.0477,0.231
27,12,ID,5.5843,9.5843,0.231
27,13,EJ,5.2851,7.2851,0.231
27,14,FB,13.05,17.05,0.231
27,15,GC,11.2092,15.2092,0.231
27,16,IC,11.2092,15.2092,0.231
27,17,JD,13.05,17.05,0.231
28,1,AB,11.9964,13.9964,0.2394
28,2,BC,9.5942,13.5942,0.2394
28,3,CD,9.5942,13.5942,0.2394
28,4,DE,11.9964,13.9964,0.2394
28,5,FG,12.0627,16.0627,0.2394
28,6,GH,9.6637,13.6637,0.2394
28,7,HI,9.6637,13.6637,0.2394
28,8,IJ,12.0627,16.0627,0.2394
28,9,AF,5.0275,7.0275,0.2394
28,10,GB,6.2903,10.2903,0.2394
28,11,HC,7.4466,11.4466,0.2394
28,12,ID,6.2903,10.2903,0.2394
28,13,EJ,5.0275,7.0275,0.2394
28,14,FB,13.0073,17.0073,0.2394
28,15,GC,11.4725,15.4725,0.2394
28,16,IC,11.4725,15.4725,0.2394
28,17,JD,13.0073,17.0073,0.2394
29,1,AB,11.9964,13.9964,0.2394
29,2,BC,9.5942,13.5942,0.2394
29,3,CD,9.5942,13.5942,0.2394
29,4,DE,11.9964,13.9964,0.2394
29,5,FG,12.0627,16.0627,0.2394
29,6,GH,9.6637,13.6637,0.2394
29,7,HI,9.6637,13.6637,0.2394
29,8,IJ,12.0627,16.0627,0.2394
29,9,AF,5.0275,7.0275,0.2394
29,10,GB,6.2903,10.2903,0.2394
29,11,HC,7.4466,11.4466,0.2394
29,12,ID,6.2903,10.2903,0.2394
29,13,EJ,5.0275,7.0275,0.2394
29,14,FB,13.0073,17.0073,0.2394
29,15,GC,11.4725,15.4725,0.2394
29,16,IC,11.4725,15.4725,0.2394
29,17,JD,13.0073,17.0073,0.2394
30,1,AB,11.9964,13.9964,0.2394
30,2,BC,9.5942,13.5942,0.2394
30,3,CD,9.5942,13.5942,0.2394
30,4,DE,11.9964,13.9964,0.2394
30,5,FG,12.0627,16.0627,0.2394
30,6,GH,9.6637,13.6637,0.2394
30,7,HI,9.6637,13.6637,0.2394
30,8,IJ,12.0627,16.0627,0.2394
30,9,AF,5.0275,7.0275,0.2394
30,10,GB,6.2903,10.2903,0.2394
30,11,HC,7.4466,11.4466,0.2394
30,12,ID,6.2903,10.2903,0.2394
30,13,EJ,5.0275,7.0275,0.2394
30,14,FB,13.0073,17.0073,0.2394
30,15,GC,11.4725,15.4725,0.2394
30,16,IC,11.4725,15.4725,0.2394
30,17,JD,13.0073,17.0073,0.2394
31,1,AB,11.9964,13.9964,0.2394
