geração,Id_Barra,Nome_Barra,Tamanho Geometrico (cm),Tamanho de Corte (cm),Fitness,No1_X,No1_Y,No2_X,No2_Y
6,10,GB,6.8595,10.8595,0.0,11.3051,6.8595,11.3051,0.0
6,11,HC,7.5583,11.5583,0.0,20.9877,7.5583,20.9877,0.0
6,12,ID,6.8595,10.8595,0.0,30.6704,6.8595,30.6704,0.0
6,13,EJ,5.7813,7.7813,0.0,41.9755,0.0,41.9755,5.7813
6,14,FB,12.6976,16.6976,0.0,0.0,5.7813,11.3051,0.0
6,15,GC,11.8662,15.8662,0.0,11.3051,6.8595,20.9877,0.0
6,16,IC,11.8662,15.8662,0.0,30.6704,6.8595,20.9877,0.0
6,17,JD,12.6976,16.6976,0.0,41.9755,5.7813,30.6704,0.0
7,1,AB,11.4463,13.4463,0.0,0.0,0.0,11.4463,0.0
7,2,BC,9.6395,13.6395,0.0,11.4463,0.0,21.0858,0.0
7,3,CD,9.6395,13.6395,0.0,21.0858,0.0,30.7254,0.0
7,4,DE,11.4463,13.4463,0.0,30.7254,0.0,42.1716,0.0
7,5,FG,11.4491,15.4491,0.0,0.0,6.126,11.4463,5.8715
7,6,GH,9.641,13.641,0.0,11.4463,5.8715,21.0858,5.7055
7,7,HI,9.641,13.641,0.0,21.0858,5.7055,30.7254,5.8715
7,8,IJ,11.4491,15.4491,0.0,30.7254,5.8715,42.1716,6.126
7,9,AF,6.126,8.126,0.0,0.0,0.0,0.0,6.126
7,10,GB,5.8715,9.8715,0.0,11.4463,5.8715,11.4463,0.0
7,11,HC,5.7055,9.7055,0.0,21.0858,5.7055,21.0858,0.0
7,12,ID,5.8715,9.8715,0.0,30.7254,5.8715,30.7254,0.0
7,13,EJ,6.126,8.126,0.0,42.1716,0.0,42.1716,6.126
7,14,FB,12.9825,16.9825,0.0,0.0,6.126,11.4463,0.0
7,15,GC,11.287,15.287,0.0,11.4463,5.8715,21.0858,0.0
7,16,IC,11.287,15.287,0.0,30.7254,5.8715,21.0858,0.0
7,17,JD,12.9825,16.9825,0.0,42.1716,6.126,30.7254,0.0
